Date,Datetime_CET,Datetime_UTC,utc_timestamp,UK_time,CET_time,Price_(£),price
01/01/2015,01/01/2015 23:00,31/12/2014 22:00,31/12/2014 22:00,22 - 23,23 - 00,37.98,
01/01/2015,01/01/2015 00:00,31/12/2014 23:00,31/12/2014 23:00,23 - 00,00 - 01,40.79,
01/01/2015,01/01/2015 01:00,01/01/2015 00:00,01/01/2015 00:00,00 - 01,01 - 02,39.61,
01/01/2015,01/01/2015 02:00,01/01/2015 01:00,01/01/2015 01:00,01 - 02,02 - 03,37.18,
01/01/2015,01/01/2015 03:00,01/01/2015 02:00,01/01/2015 02:00,02 - 03,03 - 04,32.4,
01/01/2015,01/01/2015 04:00,01/01/2015 03:00,01/01/2015 03:00,03 - 04,04 - 05,29.29,
01/01/2015,01/01/2015 05:00,01/01/2015 04:00,01/01/2015 04:00,04 - 05,05 - 06,27.24,
01/01/2015,01/01/2015 06:00,01/01/2015 05:00,01/01/2015 05:00,05 - 06,06 - 07,24.91,
01/01/2015,01/01/2015 07:00,01/01/2015 06:00,01/01/2015 06:00,06 - 07,07 - 08,25.04,
01/01/2015,01/01/2015 08:00,01/01/2015 07:00,01/01/2015 07:00,07 - 08,08 - 09,22.92,
01/01/2015,01/01/2015 09:00,01/01/2015 08:00,01/01/2015 08:00,08 - 09,09 - 10,22.3,
01/01/2015,01/01/2015 10:00,01/01/2015 09:00,01/01/2015 09:00,09 - 10,10 - 11,28.63,
01/01/2015,01/01/2015 11:00,01/01/2015 10:00,01/01/2015 10:00,10 - 11,11 - 12,31.42,
01/01/2015,01/01/2015 12:00,01/01/2015 11:00,01/01/2015 11:00,11 - 12,12 - 13,34.91,
01/01/2015,01/01/2015 13:00,01/01/2015 12:00,01/01/2015 12:00,12 - 13,13 - 14,39.58,
01/01/2015,01/01/2015 14:00,01/01/2015 13:00,01/01/2015 13:00,13 - 14,14 - 15,43.94,
01/01/2015,01/01/2015 15:00,01/01/2015 14:00,01/01/2015 14:00,14 - 15,15 - 16,41,
01/01/2015,01/01/2015 16:00,01/01/2015 15:00,01/01/2015 15:00,15 - 16,16 - 17,36.81,
01/01/2015,01/01/2015 17:00,01/01/2015 16:00,01/01/2015 16:00,16 - 17,17 - 18,49.44,
01/01/2015,01/01/2015 18:00,01/01/2015 17:00,01/01/2015 17:00,17 - 18,18 - 19,64.91,
01/01/2015,01/01/2015 19:00,01/01/2015 18:00,01/01/2015 18:00,18 - 19,19 - 20,49.44,
01/01/2015,01/01/2015 20:00,01/01/2015 19:00,01/01/2015 19:00,19 - 20,20 - 21,45.6,
01/01/2015,01/01/2015 21:00,01/01/2015 20:00,01/01/2015 20:00,20 - 21,21 - 22,46.02,
01/01/2015,01/01/2015 22:00,01/01/2015 21:00,01/01/2015 21:00,21 - 22,22 - 23,40.32,
01/01/2015,01/01/2015 23:00,01/01/2015 22:00,01/01/2015 22:00,22 - 23,23 - 00,36.3,
02/01/2015,02/01/2015 00:00,01/01/2015 23:00,01/01/2015 23:00,23 - 00,00 - 01,29.51,
02/01/2015,02/01/2015 01:00,02/01/2015 00:00,02/01/2015 00:00,00 - 01,01 - 02,27.94,
02/01/2015,02/01/2015 02:00,02/01/2015 01:00,02/01/2015 01:00,01 - 02,02 - 03,25.5,
02/01/2015,02/01/2015 03:00,02/01/2015 02:00,02/01/2015 02:00,02 - 03,03 - 04,20.92,
02/01/2015,02/01/2015 04:00,02/01/2015 03:00,02/01/2015 03:00,03 - 04,04 - 05,17.38,
02/01/2015,02/01/2015 05:00,02/01/2015 04:00,02/01/2015 04:00,04 - 05,05 - 06,19.85,
02/01/2015,02/01/2015 06:00,02/01/2015 05:00,02/01/2015 05:00,05 - 06,06 - 07,20.67,
02/01/2015,02/01/2015 07:00,02/01/2015 06:00,02/01/2015 06:00,06 - 07,07 - 08,25.36,
02/01/2015,02/01/2015 08:00,02/01/2015 07:00,02/01/2015 07:00,07 - 08,08 - 09,32,
02/01/2015,02/01/2015 09:00,02/01/2015 08:00,02/01/2015 08:00,08 - 09,09 - 10,35.09,
02/01/2015,02/01/2015 10:00,02/01/2015 09:00,02/01/2015 09:00,09 - 10,10 - 11,39.34,
02/01/2015,02/01/2015 11:00,02/01/2015 10:00,02/01/2015 10:00,10 - 11,11 - 12,37.45,
