id,date,price_data,soc,action
0,01/01/2018 00:00,47.14,1,0.5
1,01/01/2018 01:00,54.6,0.75,1
2,01/01/2018 02:00,46.63,0.25,0.09999766
3,01/01/2018 03:00,39.9,0.2,0
4,01/01/2018 04:00,23.41,0.2,0
5,01/01/2018 05:00,23.61,0.2,0
6,01/01/2018 06:00,29.96,0.2,-0.5
7,01/01/2018 07:00,24.09,0.45,-1
8,01/01/2018 08:00,24.14,0.95,-0.10000097
9,01/01/2018 09:00,42,1,0
10,01/01/2018 10:00,57,1,0
11,01/01/2018 11:00,43.4,1,0
12,01/01/2018 12:00,51.86,1,0
13,01/01/2018 13:00,55,1,0
14,01/01/2018 14:00,55,1,0
15,01/01/2018 15:00,57.88,1,0
16,01/01/2018 16:00,57.97,1,0
17,01/01/2018 17:00,75.1,1,1
18,01/01/2018 18:00,57.97,0.5,0.59998703
19,01/01/2018 19:00,51.49,0.2,0
20,01/01/2018 20:00,55.44,0.2,0
21,01/01/2018 21:00,50.54,0.2,0
22,01/01/2018 22:00,38.46,0.2,0
23,01/01/2018 23:00,33.96,0.2,-1
24,02/01/2018 00:00,44.88,0.7,0
25,02/01/2018 01:00,49.95,0.7,0.9999797
26,02/01/2018 02:00,46.72,0.2,0
27,02/01/2018 03:00,46.71,0.2,-0.5
28,02/01/2018 04:00,45.82,0.45,-0.5
29,02/01/2018 05:00,45.66,0.7,-0.6000122
30,02/01/2018 06:00,52,1,0
31,02/01/2018 07:00,43.87,1,0
32,02/01/2018 08:00,56.15,1,0
33,02/01/2018 09:00,61.92,1,1
34,02/01/2018 10:00,56.33,0.5,0.59998703
35,02/01/2018 11:00,56.15,0.2,0
36,02/01/2018 12:00,55.35,0.2,0
37,02/01/2018 13:00,44.81,0.2,-1
38,02/01/2018 14:00,42.74,0.7,-0.5
39,02/01/2018 15:00,44.91,0.95,0
40,02/01/2018 16:00,60,0.95,-0.10000194
41,02/01/2018 17:00,76.01,1,1
42,02/01/2018 18:00,60,0.5,0.59998703
43,02/01/2018 19:00,65.35,0.2,0
44,02/01/2018 20:00,60,0.2,0
45,02/01/2018 21:00,48.67,0.2,0
46,02/01/2018 22:00,42,0.2,0
47,02/01/2018 23:00,47.58,0.2,0
48,03/01/2018 00:00,49,0.2,0
49,03/01/2018 01:00,49.06,0.2,0
50,03/01/2018 02:00,45.44,0.2,0
51,03/01/2018 03:00,40.6,0.2,-0.5
52,03/01/2018 04:00,35,0.45,-1
53,03/01/2018 05:00,42,0.95,-0.10000097
54,03/01/2018 06:00,48.99,1,0
55,03/01/2018 07:00,44.03,1,0
56,03/01/2018 08:00,50.58,1,0
57,03/01/2018 09:00,54.99,1,1
58,03/01/2018 10:00,48.87,0.5,0.59998703
59,03/01/2018 11:00,49,0.2,0
60,03/01/2018 12:00,52.44,0.2,0
61,03/01/2018 13:00,46.12,0.2,0
62,03/01/2018 14:00,49.53,0.2,-1
63,03/01/2018 15:00,44.5,0.7,-0.6000122
64,03/01/2018 16:00,59.92,1,0
65,03/01/2018 17:00,77.1,1,1
66,03/01/2018 18:00,65.69,0.5,0.59998703
67,03/01/2018 19:00,55.22,0.2,0
68,03/01/2018 20:00,51.82,0.2,0
69,03/01/2018 21:00,49.55,0.2,0
70,03/01/2018 22:00,39.43,0.2,0
71,03/01/2018 23:00,42,0.2,0
72,04/01/2018 00:00,42.65,0.2,0
73,04/01/2018 01:00,42.65,0.2,0
74,04/01/2018 02:00,42.61,0.2,0
75,04/01/2018 03:00,44.03,0.2,-0.5
76,04/01/2018 04:00,44.77,0.45,-1
77,04/01/2018 05:00,49.24,0.95,-0.10000097
78,04/01/2018 06:00,53.01,1,0
79,04/01/2018 07:00,53.01,1,0
80,04/01/2018 08:00,67.03,1,0
81,04/01/2018 09:00,72.67,1,1
82,04/01/2018 10:00,74.42,0.5,0.59998703
83,04/01/2018 11:00,56.89,0.2,0
84,04/01/2018 12:00,50,0.2,0
85,04/01/2018 13:00,44.1,0.2,0
86,04/01/2018 14:00,44.53,0.2,-1
87,04/01/2018 15:00,44.53,0.7,-0.6000122
88,04/01/2018 16:00,64.1,1,0
89,04/01/2018 17:00,74.99,1,1
90,04/01/2018 18:00,64.69,0.5,0.59998703
91,04/01/2018 19:00,52.01,0.2,0
92,04/01/2018 20:00,54.31,0.2,0
93,04/01/2018 21:00,52.1,0.2,0
94,04/01/2018 22:00,43.59,0.2,0
95,04/01/2018 23:00,42.99,0.2,0
96,05/01/2018 00:00,45.9,0.2,0
97,05/01/2018 01:00,45.42,0.2,0
98,05/01/2018 02:00,44.87,0.2,0
99,05/01/2018 03:00,44.87,0.2,-0.5
100,05/01/2018 04:00,42.94,0.45,-0.5
101,05/01/2018 05:00,43.57,0.7,-0.5
102,05/01/2018 06:00,46.97,0.95,-0.10000097
103,05/01/2018 07:00,52.02,1,0
104,05/01/2018 08:00,60.89,1,0
105,05/01/2018 09:00,64.61,1,0
106,05/01/2018 10:00,64.82,1,0
107,05/01/2018 11:00,63.8,1,0
108,05/01/2018 12:00,62.78,1,0
109,05/01/2018 13:00,62.86,1,0
110,05/01/2018 14:00,61.44,1,0
111,05/01/2018 15:00,52,1,0
112,05/01/2018 16:00,77.68,1,0
113,05/01/2018 17:00,100,1,1
114,05/01/2018 18:00,71.2,0.5,0.59998703
115,05/01/2018 19:00,55.1,0.2,0
116,05/01/2018 20:00,61.89,0.2,0
117,05/01/2018 21:00,52.01,0.2,0
118,05/01/2018 22:00,42.81,0.2,-1
119,05/01/2018 23:00,54.82,0.7,0.9999797
120,06/01/2018 00:00,54.38,0.2,0
121,06/01/2018 01:00,49.43,0.2,0
122,06/01/2018 02:00,45.41,0.2,0
123,06/01/2018 03:00,43.1,0.2,0
124,06/01/2018 04:00,39.99,0.2,-0.5
125,06/01/2018 05:00,35,0.45,-1
126,06/01/2018 06:00,39.06,0.95,-0.10000097
127,06/01/2018 07:00,42.59,1,0
128,06/01/2018 08:00,44.95,1,0
129,06/01/2018 09:00,49.15,1,0
130,06/01/2018 10:00,60.06,1,1
131,06/01/2018 11:00,55.29,0.5,0
132,06/01/2018 12:00,54.3,0.5,0.59998703
133,06/01/2018 13:00,46.07,0.2,0
134,06/01/2018 14:00,44.04,0.2,-1
135,06/01/2018 15:00,44.07,0.7,0
136,06/01/2018 16:00,55,0.7,-0.5
137,06/01/2018 17:00,78.09,0.95,1
138,06/01/2018 18:00,68.17,0.45,0.499989
139,06/01/2018 19:00,55.1,0.2,0
140,06/01/2018 20:00,55.04,0.2,0
141,06/01/2018 21:00,50.92,0.2,0
142,06/01/2018 22:00,44.42,0.2,-1
143,06/01/2018 23:00,47.98,0.7,-0.6000122
144,07/01/2018 00:00,50,1,0
145,07/01/2018 01:00,47,1,0
146,07/01/2018 02:00,44.91,1,0
147,07/01/2018 03:00,42.09,1,0
148,07/01/2018 04:00,41.31,1,0
149,07/01/2018 05:00,41.07,1,0
150,07/01/2018 06:00,41.83,1,0
151,07/01/2018 07:00,41.42,1,0
152,07/01/2018 08:00,43.51,1,0
153,07/01/2018 09:00,49.09,1,0
154,07/01/2018 10:00,53.06,1,0
155,07/01/2018 11:00,50.76,1,0
156,07/01/2018 12:00,55,1,0
157,07/01/2018 13:00,55,1,0
158,07/01/2018 14:00,54.42,1,0
159,07/01/2018 15:00,48.84,1,0
160,07/01/2018 16:00,61.1,1,0
161,07/01/2018 17:00,91.66,1,1
162,07/01/2018 18:00,66.82,0.5,0.59998703
163,07/01/2018 19:00,58.93,0.2,0
164,07/01/2018 20:00,53.05,0.2,0
165,07/01/2018 21:00,48.94,0.2,0
166,07/01/2018 22:00,41.92,0.2,0
167,07/01/2018 23:00,42.81,0.2,0
168,08/01/2018 00:00,42.34,0.2,0
169,08/01/2018 01:00,42.5,0.2,0
170,08/01/2018 02:00,42.05,0.2,0
171,08/01/2018 03:00,42.01,0.2,-0.5
172,08/01/2018 04:00,41.42,0.45,-0.5
173,08/01/2018 05:00,42.11,0.7,-0.5
