,energy_in,energy_out,soc,charge_bool,discharge_bool,profit_timeseries,cumulative_profit,cumlative_cycle_rate,cumlative_profit
0,10.0,0.0,20.0,1.0,0.0,-433.261105092091,-433.261105092091,0.5,-433.261105092091
1,0.0,0.0,20.0,0.0,1.0,0.0,-433.261105092091,0.5,-433.261105092091
2,0.0,6.0,14.0,0.0,1.0,261.06132,-172.199785092091,0.8,-172.19978509209096
3,0.0,10.0,4.0,0.0,1.0,503.958,331.758214907909,1.3,331.75821490790906
4,0.0,0.0,4.0,0.0,1.0,0.0,331.758214907909,1.3,331.75821490790906
5,0.0,0.0,4.0,0.0,1.0,0.0,331.758214907909,1.3,331.75821490790906
6,10.0,0.0,14.0,1.0,0.0,-253.629469122427,78.1287457854821,1.8,78.12874578548207
7,6.0,0.0,20.0,1.0,0.0,-153.477789815818,-75.3490440303358,2.1,-75.34904403033593
8,0.0,10.0,10.0,0.0,1.0,276.5308,201.181755969664,2.6,201.18175596966407
9,10.0,0.0,20.0,1.0,0.0,-260.996749729144,-59.8149937594799,3.1,-59.81499375947996
10,0.0,0.0,20.0,1.0,0.0,0.0,-59.8149937594799,3.1,-59.81499375947996
11,0.0,0.0,20.0,0.0,1.0,0.0,-59.8149937594799,3.1,-59.81499375947996
12,0.0,10.0,10.0,0.0,1.0,526.11,466.29500624052,3.6,466.29500624052
13,10.0,0.0,20.0,1.0,0.0,-470.205850487541,-3.91084424702052,4.1,-3.910844247020975
14,0.0,0.0,20.0,0.0,1.0,0.0,-3.91084424702052,4.1,-3.910844247020975
15,0.0,0.0,20.0,0.0,1.0,0.0,-3.91084424702052,4.1,-3.910844247020975
16,0.0,0.0,20.0,0.0,1.0,0.0,-3.91084424702052,4.1,-3.910844247020975
17,0.0,0.0,20.0,0.0,1.0,0.0,-3.91084424702052,4.1,-3.910844247020975
18,0.0,6.0,14.0,0.0,1.0,321.03786,317.12701575298,4.4,317.12701575297905
19,0.0,10.0,4.0,0.0,1.0,693.173,1010.30001575298,4.9,1010.3000157529791
20,0.0,0.0,4.0,0.0,1.0,0.0,1010.30001575298,4.9,1010.3000157529791
21,0.0,0.0,4.0,0.0,1.0,0.0,1010.30001575298,4.9,1010.3000157529791
